18-12-12 09:43:09 218  The Program is to begin running VER3.5   20151125
18-12-12 09:43:46 156  VIN:L6T7722Z7JN109983
18-12-12 09:43:49 125  SEND:$31,$01,$F0,$04,
18-12-12 09:43:49 187  RECV:$71,$01,$F0,$04,
18-12-12 09:43:49 234  SEND:$31,$03,$F0,$04,
18-12-12 09:43:49 296  RECV:$71,$03,$F0,$04,$01,
18-12-12 09:43:49 656  SEND:$31,$03,$F0,$04,
18-12-12 09:43:49 718  RECV:$71,$03,$F0,$04,$01,
18-12-12 09:43:50 078  SEND:$31,$03,$F0,$04,
18-12-12 09:43:50 140  RECV:$71,$03,$F0,$04,$02,
18-12-12 09:43:50 187  SEND:$11,$03,
18-12-12 09:43:50 250  RECV:$51,$03,
18-12-12 09:43:50 296  SEND:$22,$F1,$10,
18-12-12 09:43:50 359  RECV:$62,$F1,$10,$00,$80,$D9,$01,
18-12-12 09:43:50 406  SEND:$14,$FF,$FF,$FF,
18-12-12 09:43:50 468  RECV:$7F,$14,$78,
18-12-12 09:43:51 406  RECV:$54,
18-12-12 09:43:51 453  SEND:$19,$02,$FF,
18-12-12 09:43:51 515  RECV:$59,$02,$AB,
18-12-12 09:43:51 562  SEND:$20,
18-12-12 09:43:51 625  RECV:
18-12-12 09:43:52 140  SEND:$0A,$01,$01,$F4,$02,$03,$03,$6E,$00,$04,$00,$00,$05,$06,$05,$05,$05,$0B,$00,$00,$07,$21,$0C,$00,$00,$07,$29,$0D,$00,$7F,$FF,$FF,$0F,$00,$00,$10,$00,$00,
18-12-12 09:43:52 203  RECV:
18-12-12 09:43:52 203  SEND:$10,$03,
18-12-12 09:43:52 265  RECV:$50,$03,$00,$32,$00,$C8,
18-12-12 09:43:52 265  SEND:$3E,$00,
18-12-12 09:43:52 328  RECV:$7E,$00,
18-12-12 09:43:52 328  SEND:$22,$F1,$87,
18-12-12 09:43:52 390  RECV:$62,$F1,$87,$31,$31,$37,$30,$31,$31,$34,$36,
18-12-12 09:43:52 390  SEND:$22,$F1,$8A,
18-12-12 09:43:52 453  RECV:$62,$F1,$8A,$34,$35,$31,$30,$30,$33,
18-12-12 09:43:52 453  SEND:$22,$F1,$93,
18-12-12 09:43:52 515  RECV:$62,$F1,$93,$48,$57,$3A,$30,$2E,$30,$2E,$32,$20,$20,$20,$20,$20,$20,$20,$20,
18-12-12 09:43:52 515  SEND:$22,$F1,$95,
18-12-12 09:43:52 578  RECV:$62,$F1,$95,$53,$57,$3A,$30,$2E,$30,$2E,$37,$20,$20,$20,$20,$20,$20,$20,$20,
18-12-12 09:43:52 625  SEND:$27,$01,
18-12-12 09:43:52 687  RECV:$67,$01,$32,$57,$54,$6F,
18-12-12 09:43:52 687  SEND:$27,$02,$F0,$40,$70,$32,
18-12-12 09:43:52 750  RECV:$67,$02,
18-12-12 09:43:52 796  SEND:$2E,$F1,$90,$4C,$36,$54,$37,$37,$32,$32,$5A,$37,$4A,$4E,$31,$30,$39,$39,$38,$33,
18-12-12 09:43:52 859  RECV:$7F,$2E,$78,
18-12-12 09:43:52 859  RECV:$6E,$F1,$90,
18-12-12 09:43:52 859  SEND:$2E,$F1,$01,$03,$08,$15,$02,$4A,$56,$0F,$00,
18-12-12 09:43:52 921  RECV:$6E,$F1,$01,
18-12-12 09:43:52 921  SEND:$2E,$F1,$10,$FF,$6D,$21,$00,$00,$02,$00,$00,
18-12-12 09:43:52 984  RECV:$6E,$F1,$10,
18-12-12 09:43:54 187  SEND:$11,$01,
18-12-12 09:43:54 250  RECV:$51,$01,
18-12-12 09:43:56 250  SEND:$22,$F1,$90,
18-12-12 09:43:56 312  RECV:$62,$F1,$90,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,
18-12-12 09:43:56 312  SEND:$22,$F1,$01,
18-12-12 09:43:56 375  RECV:$62,$F1,$01,$03,$08,$15,$02,$4A,$56,$0F,$00,
18-12-12 09:43:56 375  SEND:$22,$F1,$10,
18-12-12 09:43:56 437  RECV:$62,$F1,$10,$FF,$6D,$21,$00,$00,$02,$00,$00,
18-12-12 09:43:56 437  SEND:$14,$FF,$FF,$FF,
18-12-12 09:43:56 500  RECV:$54,
18-12-12 09:43:56 500  SEND:$19,$02,$09,
18-12-12 09:43:56 562  RECV:$59,$02,$79,
18-12-12 09:43:56 562  SEND:$20,
18-12-12 09:43:56 625  RECV:
18-12-12 09:43:58 640  SEND:$0A,$01,$01,$F4,$02,$03,$03,$6E,$00,$04,$00,$00,$05,$26,$25,$25,$25,$0B,$00,$00,$07,$A4,$0C,$00,$00,$07,$AC,$0D,$00,$7F,$FF,$FF,$0F,$00,$00,$10,$00,$00,
18-12-12 09:43:58 703  RECV:
18-12-12 09:43:58 703  SEND:$10,$03,
18-12-12 09:43:58 765  RECV:$50,$03,$00,$32,$00,$C8,
18-12-12 09:43:58 765  SEND:$3E,$00,
18-12-12 09:43:58 828  RECV:$7E,$00,
18-12-12 09:43:58 828  SEND:$22,$F1,$87,
18-12-12 09:43:58 953  RECV:$62,$F1,$87,$30,$31,$34,$32,$38,$39,$33,$37,
18-12-12 09:43:58 953  SEND:$22,$F1,$8A,
18-12-12 09:43:59 093  RECV:$62,$F1,$8A,$35,$35,$33,$30,$32,$34,
18-12-12 09:43:59 093  SEND:$22,$F1,$93,
18-12-12 09:43:59 250  RECV:$62,$F1,$93,$30,$31,$30,$31,$2D,$30,$31,$30,$35,$2D,$56,$30,$33,$46,$46,$46,
18-12-12 09:43:59 250  SEND:$22,$F1,$95,
18-12-12 09:43:59 406  RECV:$62,$F1,$95,$30,$31,$35,$30,$31,$30,$31,$31,$30,$30,$37,$30,$31,
18-12-12 09:43:59 406  SEND:$27,$01,
18-12-12 09:43:59 468  RECV:$67,$01,$00,$00,$00,$00,
18-12-12 09:43:59 468  SEND:$2E,$F1,$01,$03,$01,$0F,$01,
18-12-12 09:43:59 531  RECV:$7F,$2E,$78,
18-12-12 09:43:59 531  RECV:$7F,$2E,$78,
18-12-12 09:43:59 531  RECV:$7F,$2E,$78,
18-12-12 09:43:59 531  RECV:$7F,$2E,$78,
18-12-12 09:43:59 531  RECV:$7F,$2E,$78,
18-12-12 09:43:59 593  RECV:$7F,$2E,$78,
18-12-12 09:43:59 593  RECV:$7F,$2E,$78,
18-12-12 09:43:59 593  RECV:$7F,$2E,$78,
18-12-12 09:43:59 593  RECV:$7F,$2E,$78,
18-12-12 09:43:59 593  RECV:$7F,$2E,$78,
18-12-12 09:43:59 593  RECV:$7F,$2E,$78,
18-12-12 09:43:59 656  RECV:$7F,$2E,$78,
18-12-12 09:43:59 656  RECV:$7F,$2E,$78,
18-12-12 09:43:59 656  RECV:$7F,$2E,$78,
18-12-12 09:43:59 656  RECV:$7F,$2E,$78,
18-12-12 09:43:59 656  RECV:$7F,$2E,$78,
18-12-12 09:43:59 656  RECV:$7F,$2E,$78,
18-12-12 09:43:59 718  RECV:$7F,$2E,$78,
18-12-12 09:43:59 718  RECV:$7F,$2E,$78,
18-12-12 09:43:59 718  RECV:$7F,$2E,$78,
18-12-12 09:43:59 718  RECV:$7F,$2E,$78,
18-12-12 09:43:59 718  RECV:$7F,$2E,$78,
18-12-12 09:43:59 718  RECV:$7F,$2E,$78,
18-12-12 09:43:59 781  RECV:$7F,$2E,$78,
18-12-12 09:43:59 781  RECV:$7F,$2E,$78,
18-12-12 09:43:59 781  RECV:$7F,$2E,$78,
18-12-12 09:43:59 781  RECV:$7F,$2E,$78,
18-12-12 09:43:59 781  RECV:$7F,$2E,$78,
18-12-12 09:43:59 781  RECV:$7F,$2E,$78,
18-12-12 09:43:59 843  RECV:$7F,$2E,$78,
18-12-12 09:43:59 843  RECV:$7F,$2E,$78,
18-12-12 09:43:59 843  RECV:$7F,$2E,$78,
18-12-12 09:43:59 843  RECV:$7F,$2E,$78,
18-12-12 09:43:59 843  RECV:$7F,$2E,$78,
18-12-12 09:43:59 843  RECV:$7F,$2E,$78,
18-12-12 09:43:59 843  RECV:$7F,$2E,$78,
18-12-12 09:43:59 906  RECV:$7F,$2E,$78,
18-12-12 09:43:59 906  RECV:$7F,$2E,$78,
18-12-12 09:43:59 906  RECV:$7F,$2E,$78,
18-12-12 09:43:59 906  RECV:$7F,$2E,$78,
18-12-12 09:43:59 906  RECV:$7F,$2E,$78,
18-12-12 09:43:59 906  RECV:$7F,$2E,$78,
18-12-12 09:43:59 968  RECV:$7F,$2E,$78,
18-12-12 09:43:59 968  RECV:$7F,$2E,$78,
18-12-12 09:43:59 968  RECV:$7F,$2E,$78,
18-12-12 09:43:59 968  RECV:$7F,$2E,$78,
18-12-12 09:43:59 968  RECV:$7F,$2E,$78,
18-12-12 09:43:59 968  RECV:$7F,$2E,$78,
18-12-12 09:44:00 031  RECV:$7F,$2E,$78,
18-12-12 09:44:00 031  RECV:$7F,$2E,$78,
18-12-12 09:44:00 031  RECV:$7F,$2E,$78,
18-12-12 09:44:00 031  RECV:$7F,$2E,$78,
18-12-12 09:44:00 031  RECV:$7F,$2E,$78,
18-12-12 09:44:00 031  RECV:$7F,$2E,$78,
18-12-12 09:44:00 031  RECV:$7F,$2E,$78,
18-12-12 09:44:00 093  RECV:$7F,$2E,$78,
18-12-12 09:44:00 093  RECV:$7F,$2E,$78,
18-12-12 09:44:00 093  RECV:$7F,$2E,$78,
18-12-12 09:44:00 093  RECV:$7F,$2E,$78,
18-12-12 09:44:00 093  RECV:$7F,$2E,$78,
18-12-12 09:44:00 093  RECV:$7F,$2E,$78,
18-12-12 09:44:00 156  RECV:$7F,$2E,$78,
18-12-12 09:44:00 156  RECV:$7F,$2E,$78,
18-12-12 09:44:00 156  RECV:$7F,$2E,$78,
18-12-12 09:44:00 156  RECV:$7F,$2E,$78,
18-12-12 09:44:00 156  RECV:$7F,$2E,$78,
18-12-12 09:44:00 156  RECV:$7F,$2E,$78,
18-12-12 09:44:00 218  RECV:$7F,$2E,$78,
18-12-12 09:44:00 218  RECV:$7F,$2E,$78,
18-12-12 09:44:00 218  RECV:$7F,$2E,$78,
18-12-12 09:44:00 218  RECV:$7F,$2E,$78,
18-12-12 09:44:00 218  RECV:$6E,$F1,$01,
18-12-12 09:44:00 234  SEND:$2E,$F1,$90,$4C,$36,$54,$37,$37,$32,$32,$5A,$37,$4A,$4E,$31,$30,$39,$39,$38,$33,
18-12-12 09:44:00 390  RECV:$7F,$2E,$78,
18-12-12 09:44:00 390  RECV:$7F,$2E,$78,
18-12-12 09:44:00 390  RECV:$7F,$2E,$78,
18-12-12 09:44:00 390  RECV:$7F,$2E,$78,
18-12-12 09:44:00 390  RECV:$7F,$2E,$78,
18-12-12 09:44:00 390  RECV:$7F,$2E,$78,
18-12-12 09:44:00 453  RECV:$7F,$2E,$78,
18-12-12 09:44:00 453  RECV:$7F,$2E,$78,
18-12-12 09:44:00 453  RECV:$7F,$2E,$78,
18-12-12 09:44:00 453  RECV:$7F,$2E,$78,
18-12-12 09:44:00 453  RECV:$7F,$2E,$78,
18-12-12 09:44:00 453  RECV:$7F,$2E,$78,
18-12-12 09:44:00 515  RECV:$7F,$2E,$78,
18-12-12 09:44:00 515  RECV:$7F,$2E,$78,
18-12-12 09:44:00 515  RECV:$7F,$2E,$78,
18-12-12 09:44:00 515  RECV:$7F,$2E,$78,
18-12-12 09:44:00 515  RECV:$7F,$2E,$78,
18-12-12 09:44:00 515  RECV:$7F,$2E,$78,
18-12-12 09:44:00 578  RECV:$7F,$2E,$78,
18-12-12 09:44:00 578  RECV:$7F,$2E,$78,
18-12-12 09:44:00 578  RECV:$7F,$2E,$78,
18-12-12 09:44:00 578  RECV:$7F,$2E,$78,
18-12-12 09:44:00 578  RECV:$7F,$2E,$78,
18-12-12 09:44:00 578  RECV:$7F,$2E,$78,
18-12-12 09:44:00 640  RECV:$7F,$2E,$78,
18-12-12 09:44:00 640  RECV:$7F,$2E,$78,
18-12-12 09:44:00 640  RECV:$7F,$2E,$78,
18-12-12 09:44:00 640  RECV:$7F,$2E,$78,
18-12-12 09:44:00 640  RECV:$7F,$2E,$78,
18-12-12 09:44:00 640  RECV:$7F,$2E,$78,
18-12-12 09:44:00 703  RECV:$7F,$2E,$78,
18-12-12 09:44:00 703  RECV:$7F,$2E,$78,
18-12-12 09:44:00 703  RECV:$7F,$2E,$78,
18-12-12 09:44:00 703  RECV:$7F,$2E,$78,
18-12-12 09:44:00 703  RECV:$7F,$2E,$78,
18-12-12 09:44:00 703  RECV:$7F,$2E,$78,
18-12-12 09:44:00 703  RECV:$7F,$2E,$78,
18-12-12 09:44:00 765  RECV:$7F,$2E,$78,
18-12-12 09:44:00 765  RECV:$7F,$2E,$78,
18-12-12 09:44:00 765  RECV:$7F,$2E,$78,
18-12-12 09:44:00 765  RECV:$7F,$2E,$78,
18-12-12 09:44:00 765  RECV:$7F,$2E,$78,
18-12-12 09:44:00 765  RECV:$7F,$2E,$78,
18-12-12 09:44:00 828  RECV:$7F,$2E,$78,
18-12-12 09:44:00 828  RECV:$7F,$2E,$78,
18-12-12 09:44:00 828  RECV:$7F,$2E,$78,
18-12-12 09:44:00 828  RECV:$7F,$2E,$78,
18-12-12 09:44:00 828  RECV:$7F,$2E,$78,
18-12-12 09:44:00 828  RECV:$7F,$2E,$78,
18-12-12 09:44:00 890  RECV:$7F,$2E,$78,
18-12-12 09:44:00 890  RECV:$7F,$2E,$78,
18-12-12 09:44:00 890  RECV:$7F,$2E,$78,
18-12-12 09:44:00 890  RECV:$7F,$2E,$78,
18-12-12 09:44:00 890  RECV:$7F,$2E,$78,
18-12-12 09:44:00 890  RECV:$7F,$2E,$78,
18-12-12 09:44:00 890  RECV:$7F,$2E,$78,
18-12-12 09:44:00 953  RECV:$7F,$2E,$78,
18-12-12 09:44:00 953  RECV:$7F,$2E,$78,
18-12-12 09:44:00 953  RECV:$7F,$2E,$78,
18-12-12 09:44:00 953  RECV:$7F,$2E,$78,
18-12-12 09:44:00 953  RECV:$7F,$2E,$78,
18-12-12 09:44:00 953  RECV:$7F,$2E,$78,
18-12-12 09:44:01 015  RECV:$7F,$2E,$78,
18-12-12 09:44:01 015  RECV:$7F,$2E,$78,
18-12-12 09:44:01 015  RECV:$7F,$2E,$78,
18-12-12 09:44:01 015  RECV:$7F,$2E,$78,
18-12-12 09:44:01 015  RECV:$7F,$2E,$78,
18-12-12 09:44:01 015  RECV:$7F,$2E,$78,
18-12-12 09:44:01 078  RECV:$7F,$2E,$78,
18-12-12 09:44:01 078  RECV:$7F,$2E,$78,
18-12-12 09:44:01 078  RECV:$7F,$2E,$78,
18-12-12 09:44:01 078  RECV:$7F,$2E,$78,
18-12-12 09:44:01 078  RECV:$7F,$2E,$78,
18-12-12 09:44:01 078  RECV:$7F,$2E,$78,
18-12-12 09:44:01 140  RECV:$7F,$2E,$78,
18-12-12 09:44:01 140  RECV:$7F,$2E,$78,
18-12-12 09:44:01 140  RECV:$7F,$2E,$78,
18-12-12 09:44:01 140  RECV:$7F,$2E,$78,
18-12-12 09:44:01 140  RECV:$7F,$2E,$78,
18-12-12 09:44:01 140  RECV:$7F,$2E,$78,
18-12-12 09:44:01 203  RECV:$7F,$2E,$78,
18-12-12 09:44:01 203  RECV:$7F,$2E,$78,
18-12-12 09:44:01 203  RECV:$7F,$2E,$78,
18-12-12 09:44:01 203  RECV:$7F,$2E,$78,
18-12-12 09:44:01 203  RECV:$7F,$2E,$78,
18-12-12 09:44:01 203  RECV:$7F,$2E,$78,
18-12-12 09:44:01 203  RECV:$7F,$2E,$78,
18-12-12 09:44:01 265  RECV:$7F,$2E,$78,
18-12-12 09:44:01 265  RECV:$7F,$2E,$78,
18-12-12 09:44:01 265  RECV:$7F,$2E,$78,
18-12-12 09:44:01 265  RECV:$7F,$2E,$78,
18-12-12 09:44:01 265  RECV:$7F,$2E,$78,
18-12-12 09:44:01 265  RECV:$7F,$2E,$78,
18-12-12 09:44:01 328  RECV:$7F,$2E,$78,
18-12-12 09:44:01 328  RECV:$7F,$2E,$78,
18-12-12 09:44:01 328  RECV:$7F,$2E,$78,
18-12-12 09:44:01 328  RECV:$7F,$2E,$78,
18-12-12 09:44:01 328  RECV:$7F,$2E,$78,
18-12-12 09:44:01 328  RECV:$6E,$F1,$90,
18-12-12 09:44:01 328  SEND:$22,$21,$00,
18-12-12 09:44:01 390  RECV:$62,$21,$00,$11,
18-12-12 09:44:01 390  SEND:$31,$01,$20,$03,$01,$32,$64,
18-12-12 09:44:01 453  RECV:$71,$01,$20,$03,$C0,$00,$00,
18-12-12 09:44:02 953  SEND:$31,$03,$20,$03,
18-12-12 09:44:03 015  RECV:$71,$03,$20,$03,$10,$00,$00,
18-12-12 09:44:03 015  SEND:$22,$21,$00,
18-12-12 09:44:03 078  RECV:$62,$21,$00,$10,
18-12-12 09:44:03 078  SEND:$31,$01,$20,$04,$01,$32,$64,
18-12-12 09:44:03 140  RECV:$71,$01,$20,$04,$C0,$00,$00,
18-12-12 09:44:04 640  SEND:$31,$03,$20,$04,
18-12-12 09:44:04 703  RECV:$71,$03,$20,$04,$10,$00,$00,
18-12-12 09:44:04 718  SEND:$22,$01,$10,
18-12-12 09:44:04 781  RECV:$62,$01,$10,$FF,
18-12-12 09:44:04 781  SEND:$31,$01,$20,$0A,$00,$00,$00,
18-12-12 09:44:04 843  RECV:$71,$01,$20,$0A,$C0,$00,$00,
18-12-12 09:44:07 843  SEND:$31,$03,$20,$0A,
18-12-12 09:44:07 906  RECV:$71,$03,$20,$0A,$10,$FF,$FF,
18-12-12 09:44:07 906  SEND:$2E,$01,$10,$00,
18-12-12 09:44:07 968  RECV:$7F,$2E,$78,
18-12-12 09:44:07 968  RECV:$7F,$2E,$78,
18-12-12 09:44:07 968  RECV:$7F,$2E,$78,
18-12-12 09:44:08 031  RECV:$7F,$2E,$78,
18-12-12 09:44:08 031  RECV:$7F,$2E,$78,
18-12-12 09:44:08 031  RECV:$7F,$2E,$78,
18-12-12 09:44:08 031  RECV:$7F,$2E,$78,
18-12-12 09:44:08 031  RECV:$7F,$2E,$78,
18-12-12 09:44:08 031  RECV:$7F,$2E,$78,
18-12-12 09:44:08 031  RECV:$7F,$2E,$78,
18-12-12 09:44:08 093  RECV:$7F,$2E,$78,
18-12-12 09:44:08 093  RECV:$7F,$2E,$78,
18-12-12 09:44:08 093  RECV:$7F,$2E,$78,
18-12-12 09:44:08 093  RECV:$7F,$2E,$78,
18-12-12 09:44:08 093  RECV:$7F,$2E,$78,
18-12-12 09:44:08 093  RECV:$7F,$2E,$78,
18-12-12 09:44:08 156  RECV:$7F,$2E,$78,
18-12-12 09:44:08 156  RECV:$7F,$2E,$78,
18-12-12 09:44:08 156  RECV:$7F,$2E,$78,
18-12-12 09:44:08 156  RECV:$7F,$2E,$78,
18-12-12 09:44:08 156  RECV:$7F,$2E,$78,
18-12-12 09:44:08 156  RECV:$7F,$2E,$78,
18-12-12 09:44:08 218  RECV:$7F,$2E,$78,
18-12-12 09:44:08 218  RECV:$7F,$2E,$78,
18-12-12 09:44:08 218  RECV:$7F,$2E,$78,
18-12-12 09:44:08 218  RECV:$7F,$2E,$78,
18-12-12 09:44:08 218  RECV:$7F,$2E,$78,
18-12-12 09:44:08 218  RECV:$7F,$2E,$78,
18-12-12 09:44:08 281  RECV:$7F,$2E,$78,
18-12-12 09:44:08 281  RECV:$7F,$2E,$78,
18-12-12 09:44:08 281  RECV:$7F,$2E,$78,
18-12-12 09:44:08 281  RECV:$7F,$2E,$78,
18-12-12 09:44:08 281  RECV:$7F,$2E,$78,
18-12-12 09:44:08 281  RECV:$7F,$2E,$78,
18-12-12 09:44:08 281  RECV:$7F,$2E,$78,
18-12-12 09:44:08 343  RECV:$7F,$2E,$78,
18-12-12 09:44:08 343  RECV:$7F,$2E,$78,
18-12-12 09:44:08 343  RECV:$7F,$2E,$78,
18-12-12 09:44:08 343  RECV:$7F,$2E,$78,
18-12-12 09:44:08 343  RECV:$7F,$2E,$78,
18-12-12 09:44:08 343  RECV:$7F,$2E,$78,
18-12-12 09:44:08 406  RECV:$7F,$2E,$78,
18-12-12 09:44:08 406  RECV:$7F,$2E,$78,
18-12-12 09:44:08 406  RECV:$7F,$2E,$78,
18-12-12 09:44:08 406  RECV:$7F,$2E,$78,
18-12-12 09:44:08 406  RECV:$7F,$2E,$78,
18-12-12 09:44:08 406  RECV:$7F,$2E,$78,
18-12-12 09:44:08 468  RECV:$7F,$2E,$78,
18-12-12 09:44:08 468  RECV:$7F,$2E,$78,
18-12-12 09:44:08 468  RECV:$7F,$2E,$78,
18-12-12 09:44:08 468  RECV:$7F,$2E,$78,
18-12-12 09:44:08 468  RECV:$7F,$2E,$78,
18-12-12 09:44:08 468  RECV:$7F,$2E,$78,
18-12-12 09:44:08 531  RECV:$7F,$2E,$78,
18-12-12 09:44:08 531  RECV:$7F,$2E,$78,
18-12-12 09:44:08 531  RECV:$7F,$2E,$78,
18-12-12 09:44:08 531  RECV:$7F,$2E,$78,
18-12-12 09:44:08 531  RECV:$7F,$2E,$78,
18-12-12 09:44:08 531  RECV:$7F,$2E,$78,
18-12-12 09:44:08 531  RECV:$7F,$2E,$78,
18-12-12 09:44:08 593  RECV:$7F,$2E,$78,
18-12-12 09:44:08 593  RECV:$7F,$2E,$78,
18-12-12 09:44:08 593  RECV:$7F,$2E,$78,
18-12-12 09:44:08 593  RECV:$7F,$2E,$78,
18-12-12 09:44:08 593  RECV:$7F,$2E,$78,
18-12-12 09:44:08 593  RECV:$7F,$2E,$78,
18-12-12 09:44:08 656  RECV:$7F,$2E,$78,
18-12-12 09:44:08 656  RECV:$7F,$2E,$78,
18-12-12 09:44:08 656  RECV:$7F,$2E,$78,
18-12-12 09:44:08 656  RECV:$7F,$2E,$78,
18-12-12 09:44:08 656  RECV:$7F,$2E,$78,
18-12-12 09:44:08 656  RECV:$7F,$2E,$78,
18-12-12 09:44:08 718  RECV:$7F,$2E,$78,
18-12-12 09:44:08 718  RECV:$7F,$2E,$78,
18-12-12 09:44:08 718  RECV:$7F,$2E,$78,
18-12-12 09:44:08 718  RECV:$7F,$2E,$78,
18-12-12 09:44:08 718  RECV:$7F,$2E,$78,
18-12-12 09:44:08 718  RECV:$7F,$2E,$78,
18-12-12 09:44:08 781  RECV:$7F,$2E,$78,
18-12-12 09:44:08 781  RECV:$7F,$2E,$78,
18-12-12 09:44:08 781  RECV:$7F,$2E,$78,
18-12-12 09:44:08 781  RECV:$7F,$2E,$78,
18-12-12 09:44:08 781  RECV:$7F,$2E,$78,
18-12-12 09:44:08 781  RECV:$7F,$2E,$78,
18-12-12 09:44:08 781  RECV:$7F,$2E,$78,
18-12-12 09:44:08 843  RECV:$7F,$2E,$78,
18-12-12 09:44:08 843  RECV:$7F,$2E,$78,
18-12-12 09:44:08 843  RECV:$7F,$2E,$78,
18-12-12 09:44:08 843  RECV:$7F,$2E,$78,
18-12-12 09:44:08 843  RECV:$7F,$2E,$78,
18-12-12 09:44:08 843  RECV:$7F,$2E,$78,
18-12-12 09:44:08 906  RECV:$7F,$2E,$78,
18-12-12 09:44:08 906  RECV:$7F,$2E,$78,
18-12-12 09:44:08 906  RECV:$7F,$2E,$78,
18-12-12 09:44:08 906  RECV:$7F,$2E,$78,
18-12-12 09:44:08 906  RECV:$7F,$2E,$78,
18-12-12 09:44:08 906  RECV:$7F,$2E,$78,
18-12-12 09:44:08 968  RECV:$7F,$2E,$78,
18-12-12 09:44:08 968  RECV:$7F,$2E,$78,
18-12-12 09:44:08 968  RECV:$7F,$2E,$78,
18-12-12 09:44:08 968  RECV:$7F,$2E,$78,
18-12-12 09:44:08 968  RECV:$7F,$2E,$78,
18-12-12 09:44:08 968  RECV:$7F,$2E,$78,
18-12-12 09:44:09 031  RECV:$7F,$2E,$78,
18-12-12 09:44:09 031  RECV:$7F,$2E,$78,
18-12-12 09:44:09 031  RECV:$7F,$2E,$78,
18-12-12 09:44:09 031  RECV:$7F,$2E,$78,
18-12-12 09:44:09 031  RECV:$7F,$2E,$78,
18-12-12 09:44:09 031  RECV:$7F,$2E,$78,
18-12-12 09:44:09 031  RECV:$7F,$2E,$78,
18-12-12 09:44:09 093  RECV:$7F,$2E,$78,
18-12-12 09:44:09 093  RECV:$7F,$2E,$78,
18-12-12 09:44:09 093  RECV:$7F,$2E,$78,
18-12-12 09:44:09 093  RECV:$7F,$2E,$78,
18-12-12 09:44:09 093  RECV:$7F,$2E,$78,
18-12-12 09:44:09 093  RECV:$7F,$2E,$78,
18-12-12 09:44:09 156  RECV:$7F,$2E,$78,
18-12-12 09:44:09 156  RECV:$7F,$2E,$78,
18-12-12 09:44:09 156  RECV:$7F,$2E,$78,
18-12-12 09:44:09 156  RECV:$7F,$2E,$78,
18-12-12 09:44:09 156  RECV:$7F,$2E,$78,
18-12-12 09:44:09 156  RECV:$7F,$2E,$78,
